CNS_ID,UnifiedID
C21-049,UNIFIED_000132
C22-001,UNIFIED_000125
C22-002,UNIFIED_000015
C22-003,UNIFIED_000080
C22-004,UNIFIED_000148
C22-005,UNIFIED_000149
C22-006,UNIFIED_000142
C22-001,UNIFIED_000142
C22-008,UNIFIED_000168
C22-009,UNIFIED_000100
C22-010,UNIFIED_000150
C22-011,UNIFIED_000153
C22-013,UNIFIED_000152
C22-014,UNIFIED_000013
C22-015,UNIFIED_000016
C22-016,UNIFIED_000109
C22-017,UNIFIED_000156
C22-020,UNIFIED_000077
C22-049,UNIFIED_000103
C22-050,UNIFIED_000111
C22-051,UNIFIED_000039
C22-052,UNIFIED_000098
C22-053,UNIFIED_000061
C22-054,UNIFIED_000121
C22-055,UNIFIED_000086
C22-057,UNIFIED_000127
C22-058,UNIFIED_000157
C22-059,UNIFIED_000175
C22-060,UNIFIED_000138
C22-061,UNIFIED_000076
C22-062,UNIFIED_000091
C22-063,UNIFIED_000155
C22-064,UNIFIED_000179
C22-067,UNIFIED_000180
C22-069,UNIFIED_000099
C22-072,UNIFIED_000158
C22-073,UNIFIED_000185
C22-074,UNIFIED_000171
C22-076,UNIFIED_000186
C22-078,UNIFIED_000032
C22-079,UNIFIED_000189
C22-081,UNIFIED_000053
C22-082,UNIFIED_000187
C22-083,UNIFIED_000181
C22-084,UNIFIED_000191
C22-085,UNIFIED_000188
C22-086,UNIFIED_000078
C22-087,UNIFIED_000044
C22-088,UNIFIED_000071
C22-090,UNIFIED_000096
C22-091,UNIFIED_000182
C22-093,UNIFIED_000050
C23-062,UNIFIED_000037
C22-022,UNIFIED_000005
C22-023,UNIFIED_000038
C22-024,UNIFIED_000052
C22-025,UNIFIED_000160
C22-026,UNIFIED_000041
C22-027,UNIFIED_000035
C22-028,UNIFIED_000163
C22-029,UNIFIED_000026
C22-031,UNIFIED_000120
C22-032,UNIFIED_000081
C22-034,UNIFIED_000085
C22-037,UNIFIED_000165
C22-041,UNIFIED_000093
C22-045,UNIFIED_000137
C22-047,UNIFIED_000164
C22-048,UNIFIED_000159
C19-030,UNIFIED_000049
C25-023,UNIFIED_000104
C24-153,UNIFIED_000110
C21-070,UNIFIED_000130
C21-068,UNIFIED_000131
C21-069,UNIFIED_000057
C21-007,UNIFIED_000134
C21-071,UNIFIED_000046
C21-003,UNIFIED_000141
C21-001,UNIFIED_000143
C21-066,UNIFIED_000123
C21-067,UNIFIED_000139
C22-007,UNIFIED_000040
C22-012,UNIFIED_000025
C22-019,UNIFIED_000006
C22-021,UNIFIED_000124
C22-030,UNIFIED_000082
C22-033,UNIFIED_000140
C22-035,UNIFIED_000007
C22-039,UNIFIED_000166
C22-040,UNIFIED_000161
C22-042,UNIFIED_000169
C22-043,UNIFIED_000069
C22-056,UNIFIED_000173
C22-065,UNIFIED_000177
C22-066,UNIFIED_000147
C22-068,UNIFIED_000183
C22-075,UNIFIED_000178
C22-077,UNIFIED_000108
C22-080,UNIFIED_000106
C22-089,UNIFIED_000033
C23-012,UNIFIED_000079
C23-013,UNIFIED_000090
C23-015,UNIFIED_000083
C23-024,UNIFIED_000196
C23-025,UNIFIED_000047
C23-027,UNIFIED_000162
C23-055,UNIFIED_000184
C23-060,UNIFIED_000210
C23-075,UNIFIED_000088
C23-085,UNIFIED_000129
C23-086,UNIFIED_000066
C23-105,UNIFIED_000021
C23-112,UNIFIED_000217
C23-116,UNIFIED_000229
C23-117,UNIFIED_000192
C23-118,UNIFIED_000231
C23-124,UNIFIED_000070
C23-125,UNIFIED_000056
C23-137,UNIFIED_000237
C23-148,UNIFIED_000094
C23-149,UNIFIED_000202
C23-151,UNIFIED_000048
C23-154,UNIFIED_000058
C23-160,UNIFIED_000031
C23-170,UNIFIED_000240
C24-005,UNIFIED_000246
C24-006,UNIFIED_000113
C24-018,UNIFIED_000004
C24-034,UNIFIED_000250
C24-039,UNIFIED_000119
C24-040,UNIFIED_000225
C24-044,UNIFIED_000062
C24-046,UNIFIED_000220
C24-050,UNIFIED_000257
C24-053,UNIFIED_000008
C24-058,UNIFIED_000254
C24-068,UNIFIED_000261
C24-077,UNIFIED_000245
C24-078,UNIFIED_000045
C24-079,UNIFIED_000022
C24-084,UNIFIED_000252
C24-085,UNIFIED_000255
C24-106,UNIFIED_000253
C23-005,UNIFIED_000170
C23-006,UNIFIED_000146
C23-008,UNIFIED_000194
C23-011,UNIFIED_000023
C23-014,UNIFIED_000197
C23-016,UNIFIED_000176
C23-017,UNIFIED_000190
C23-018,UNIFIED_000172
C23-019,UNIFIED_000135
C23-022,UNIFIED_000042
C23-023,UNIFIED_000198
C23-028,UNIFIED_000199
C23-030,UNIFIED_000122
C23-034,UNIFIED_000144
C23-045,UNIFIED_000208
C23-050,UNIFIED_000024
C23-054,UNIFIED_000128
C23-056,UNIFIED_000072
C23-057,UNIFIED_000209
C23-063,UNIFIED_000126
C23-066,UNIFIED_000216
C23-067,UNIFIED_000219
C23-068,UNIFIED_000215
C23-083,UNIFIED_000030
C23-004,UNIFIED_000012
C23-029,UNIFIED_000055
C23-033,UNIFIED_000201
C23-035,UNIFIED_000200
C23-038,UNIFIED_000206
C23-039,UNIFIED_000074
C23-040,UNIFIED_000205
C23-041,UNIFIED_000203
C23-042,UNIFIED_000207
C23-049,UNIFIED_000084
C23-053,UNIFIED_000063
C23-064,UNIFIED_000193
C23-065,UNIFIED_000213
C23-072,UNIFIED_000218
C23-073,UNIFIED_000222
C23-074,UNIFIED_000107
C23-079,UNIFIED_000102
C23-082,UNIFIED_000223
C23-084,UNIFIED_000227
C23-088,UNIFIED_000226
C23-093,UNIFIED_000017
C23-098,UNIFIED_000212
C23-099,UNIFIED_000089
C23-114,UNIFIED_000114
C23-121,UNIFIED_000092
C23-122,UNIFIED_000233
C23-127,UNIFIED_000154
C23-128,UNIFIED_000151
C23-129,UNIFIED_000232
C23-131,UNIFIED_000234
C23-140,UNIFIED_000235
C23-147,UNIFIED_000018
C23-155,UNIFIED_000075
C23-159,UNIFIED_000239
C23-169,UNIFIED_000243
C23-171,UNIFIED_000241
C24-001,UNIFIED_000236
C24-002,UNIFIED_000244
C24-007,UNIFIED_000230
