NGS_ID,UnifiedID
NGS0002,UNIFIED_000132
NGS0003,UNIFIED_000125
NGS0004,UNIFIED_000015
NGS0005,UNIFIED_000080
NGS0006,UNIFIED_000148
NGS0007,UNIFIED_000149
NGS0008,UNIFIED_000142
NGS0009,UNIFIED_000168
NGS0010,UNIFIED_000100
NGS0011,UNIFIED_000150
NGS0012,UNIFIED_000153
NGS0013,UNIFIED_000152
NGS0014,UNIFIED_000013
NGS0015,UNIFIED_000016
NGS0016,UNIFIED_000109
NGS0017,UNIFIED_000156
NGS0018,UNIFIED_000077
NGS0019,UNIFIED_000103
NGS0020,UNIFIED_000111
NGS0021,UNIFIED_000039
NGS0022,UNIFIED_000098
NGS0023,UNIFIED_000061
NGS0024,UNIFIED_000121
NGS0025,UNIFIED_000086
NGS0026,UNIFIED_000127
NGS0027,UNIFIED_000157
NGS0028,UNIFIED_000175
NGS0029,UNIFIED_000138
NGS0030,UNIFIED_000076
NGS0031,UNIFIED_000091
NGS0032,UNIFIED_000155
NGS0033,UNIFIED_000179
NGS0034,UNIFIED_000180
NGS0035,UNIFIED_000099
NGS0037,UNIFIED_000158
NGS0038,UNIFIED_000185
NGS0039,UNIFIED_000171
NGS0040,UNIFIED_000186
NGS0041,UNIFIED_000032
NGS0042,UNIFIED_000189
NGS0043,UNIFIED_000053
NGS0044,UNIFIED_000187
NGS0045,UNIFIED_000181
NGS0046,UNIFIED_000191
NGS0047,UNIFIED_000188
NGS0048,UNIFIED_000078
NGS0049,UNIFIED_000044
NGS0050,UNIFIED_000071
NGS0051,UNIFIED_000096
NGS0052,UNIFIED_000182
NGS0053,UNIFIED_000050
NGS0060,UNIFIED_000037
NGS0064,UNIFIED_000005
NGS0065,UNIFIED_000038
NGS0066,UNIFIED_000052
NGS0067,UNIFIED_000160
NGS0068,UNIFIED_000041
NGS0069,UNIFIED_000035
NGS0070,UNIFIED_000163
NGS0071,UNIFIED_000026
NGS0072,UNIFIED_000120
NGS0073,UNIFIED_000081
NGS0074,UNIFIED_000085
NGS0076,UNIFIED_000165
NGS0078,UNIFIED_000093
NGS0080,UNIFIED_000137
NGS0082,UNIFIED_000164
NGS0083,UNIFIED_000159
NGS0085,UNIFIED_000049
NGS0125,UNIFIED_000104
NGS0149,UNIFIED_000110
NGS0210,UNIFIED_000130
NGS0218,UNIFIED_000131
NGS0219,UNIFIED_000057
NGS0221,UNIFIED_000134
NGS0239,UNIFIED_000046
NGS0258,UNIFIED_000141
NGS0265,UNIFIED_000143
NGS0270,UNIFIED_000123
NGS0271,UNIFIED_000139
NGS0272,UNIFIED_000040
NGS0273,UNIFIED_000025
NGS0275,UNIFIED_000006
NGS0276,UNIFIED_000124
NGS0277,UNIFIED_000082
NGS0278,UNIFIED_000140
NGS0279,UNIFIED_000007
NGS0280,UNIFIED_000166
NGS0281,UNIFIED_000161
NGS0282,UNIFIED_000169
NGS0283,UNIFIED_000069
NGS0284,UNIFIED_000173
NGS0285,UNIFIED_000177
NGS0286,UNIFIED_000147
NGS0287,UNIFIED_000183
NGS0289,UNIFIED_000178
NGS0290,UNIFIED_000108
NGS0291,UNIFIED_000106
NGS0292,UNIFIED_000033
NGS0295,UNIFIED_000079
NGS0296,UNIFIED_000090
NGS0297,UNIFIED_000083
NGS0300,UNIFIED_000196
NGS0301,UNIFIED_000047
NGS0303,UNIFIED_000162
NGS0314,UNIFIED_000184
NGS0316,UNIFIED_000210
NGS0320,UNIFIED_000088
NGS0326,UNIFIED_000129
NGS0327,UNIFIED_000066
NGS0340,UNIFIED_000021
NGS0347,UNIFIED_000217
NGS0350,UNIFIED_000229
NGS0351,UNIFIED_000192
NGS0352,UNIFIED_000231
NGS0356,UNIFIED_000070
NGS0357,UNIFIED_000056
NGS0364,UNIFIED_000237
NGS0373,UNIFIED_000094
NGS0374,UNIFIED_000202
NGS0376,UNIFIED_000048
NGS0379,UNIFIED_000058
NGS0383,UNIFIED_000031
NGS0392,UNIFIED_000240
NGS0399,UNIFIED_000246
NGS0400,UNIFIED_000113
NGS0409,UNIFIED_000004
NGS0419,UNIFIED_000250
NGS0422,UNIFIED_000119
NGS0423,UNIFIED_000225
NGS0427,UNIFIED_000062
NGS0428,UNIFIED_000220
NGS0430,UNIFIED_000257
NGS0433,UNIFIED_000008
NGS0435,UNIFIED_000254
NGS0443,UNIFIED_000261
NGS0450,UNIFIED_000245
NGS0451,UNIFIED_000045
NGS0452,UNIFIED_000022
NGS0457,UNIFIED_000252
NGS0458,UNIFIED_000255
NGS0475,UNIFIED_000253
NGS0477,UNIFIED_000170
NGS0478,UNIFIED_000146
NGS0479,UNIFIED_000194
NGS0480,UNIFIED_000023
NGS0481,UNIFIED_000197
NGS0482,UNIFIED_000176
NGS0483,UNIFIED_000190
NGS0484,UNIFIED_000172
NGS0485,UNIFIED_000135
NGS0486,UNIFIED_000042
NGS0487,UNIFIED_000198
NGS0488,UNIFIED_000199
NGS0489,UNIFIED_000122
NGS0490,UNIFIED_000144
NGS0491,UNIFIED_000208
NGS0492,UNIFIED_000024
NGS0493,UNIFIED_000128
NGS0494,UNIFIED_000072
NGS0495,UNIFIED_000209
NGS0496,UNIFIED_000126
NGS0497,UNIFIED_000216
NGS0498,UNIFIED_000219
NGS0499,UNIFIED_000215
NGS0500,UNIFIED_000030
NGS0501,UNIFIED_000012
NGS0502,UNIFIED_000055
NGS0503,UNIFIED_000201
NGS0504,UNIFIED_000200
NGS0505,UNIFIED_000206
NGS0506,UNIFIED_000074
NGS0507,UNIFIED_000205
NGS0508,UNIFIED_000203
NGS0509,UNIFIED_000207
NGS0510,UNIFIED_000084
NGS0511,UNIFIED_000063
NGS0512,UNIFIED_000193
NGS0513,UNIFIED_000213
NGS0514,UNIFIED_000218
NGS0515,UNIFIED_000222
NGS0516,UNIFIED_000107
NGS0517,UNIFIED_000102
NGS0518,UNIFIED_000223
NGS0519,UNIFIED_000227
NGS0520,UNIFIED_000226
NGS0521,UNIFIED_000017
NGS0522,UNIFIED_000212
NGS0523,UNIFIED_000089
NGS0524,UNIFIED_000114
NGS0525,UNIFIED_000092
NGS0526,UNIFIED_000233
NGS0527,UNIFIED_000154
NGS0528,UNIFIED_000151
NGS0529,UNIFIED_000232
NGS0530,UNIFIED_000234
NGS0531,UNIFIED_000235
NGS0532,UNIFIED_000018
NGS0533,UNIFIED_000075
NGS0534,UNIFIED_000239
NGS0535,UNIFIED_000243
NGS0536,UNIFIED_000241
NGS0537,UNIFIED_000236
NGS0538,UNIFIED_000244
NGS0539,UNIFIED_000230
NGS0540,UNIFIED_000204
NGS0541,UNIFIED_000238
NGS0542,UNIFIED_000247
NGS0543,UNIFIED_000010
NGS0544,UNIFIED_000095
NGS0545,UNIFIED_000224
NGS0546,UNIFIED_000248
NGS0547,UNIFIED_000211
NGS0548,UNIFIED_000020
NGS0549,UNIFIED_000029
NGS0550,UNIFIED_000221
NGS0551,UNIFIED_000001
NGS0552,UNIFIED_000014
NGS0553,UNIFIED_000251
NGS0554,UNIFIED_000259
NGS0555,UNIFIED_000195
NGS0556,UNIFIED_000260
NGS0557,UNIFIED_000256
NGS0558,UNIFIED_000009
NGS0559,UNIFIED_000034
NGS0560,UNIFIED_000264
NGS0561,UNIFIED_000112
NGS0562,UNIFIED_000265
NGS0563,UNIFIED_000262
NGS0564,UNIFIED_000011
NGS0565,UNIFIED_000258
NGS0566,UNIFIED_000145
NGS0567,UNIFIED_000249
NGS0568,UNIFIED_000027
NGS0569,UNIFIED_000267
NGS0570,UNIFIED_000263
NGS0571,UNIFIED_000065
NGS0572,UNIFIED_000268
NGS0573,UNIFIED_000228
NGS0574,UNIFIED_000064
NGS0575,UNIFIED_000115
NGS0576,UNIFIED_000117
NGS0577,UNIFIED_000273
NGS0578,UNIFIED_000087
NGS0579,UNIFIED_000274
NGS0580,UNIFIED_000266
NGS0581,UNIFIED_000118
NGS0582,UNIFIED_000054
NGS0583,UNIFIED_000059
NGS0584,UNIFIED_000105
NGS0585,UNIFIED_000272
NGS0586,UNIFIED_000276
NGS0587,UNIFIED_000073
NGS0588,UNIFIED_000278
NGS0589,UNIFIED_000060
NGS0590,UNIFIED_000275
NGS0591,UNIFIED_000242
